Id,SalePrice
1461,125984.3338300365
1462,150535.35640857884
1463,180532.38993413132
1464,187276.5308830534
1465,193686.80441650213
1466,183722.40176306322
1467,171315.56222834863
1468,175948.50934622946
1469,182370.27816588205
1470,128403.00469015348
1471,201550.44601645542
1472,99947.14976986991
1473,104224.97856476324
1474,153700.89244365646
1475,126721.34806234197
1476,340195.6834222152
1477,251027.30764716625
1478,299372.85969017365
1479,301867.1328825175
1480,390257.8612099222
1481,303740.4810770227
1482,205995.14789125312
1483,187193.46718880252
1484,176769.24006274703
1485,178535.23501265244
1486,199483.90458404753
1487,296713.3300599605
1488,241584.21154442918
1489,199110.2646233611
1490,214619.72011352624
1491,198568.7697200377
1492,104399.90063088493
1493,180141.65038979758
1494,287847.22449812666
1495,283066.59440105874
1496,230300.99709871114
1497,186228.02688532954
1498,161405.7701408992
1499,160071.2565411083
1500,160641.9209829604
1501,168135.16023526844
1502,163864.8761313439
1503,263483.71850407583
1504,220859.60604758046
1505,218078.37753045216
1506,180079.61285698632
1507,235541.11456546208
1508,190865.29077320927
1509,157794.70121019727
1510,149553.7350255718
1511,150272.93034752386
1512,171903.0922039646
1513,149496.61073111047
1514,149789.5046704843
1515,180511.7168236115
1516,151922.75953753217
1517,148338.91733709548
1518,142778.141504203
1519,221649.6747889461
1520,138157.0403303393
1521,141053.9480610472
1522,163923.64666376368
1523,119591.6799758028
1524,121192.7183947519
1525,126173.42341618155
1526,126117.57638005886
1527,111844.46308856213
1528,126068.50040267817
1529,141652.49085421322
1530,165766.58251458337
1531,134416.56988062468
1532,104989.12725951787
1533,140807.70371045065
1534,120569.0273296052
1535,149064.78390290376
1536,120968.42150764912
1537,100449.3054932621
1538,144623.59694406
1539,182373.82684916482
1540,123427.57578301261
1541,137866.14751944138
1542,137569.32804070448
1543,171313.58720174816
1544,90757.38275080262
1545,106474.82605573763
1546,123681.84480782878
1547,134205.753800984
1548,124583.719700224
1549,112016.15549019928
1550,137514.07373741336
1551,121560.95740692473
1552,142642.3779248673
1553,133489.9855985457
1554,114444.63436745493
1555,167783.06354446727
1556,100893.43705923435
1557,119546.3060273991
1558,102499.34934342385
1559,115618.18030229044
1560,139710.2082184038
1561,142330.57291296375
1562,127598.62885340294
1563,123373.69719718256
1564,161999.81636690052
1565,154945.64699152016
1566,204629.69332231508
1567,95198.35947618875
1568,211381.62495993718
1569,156269.0998668032
1570,138157.4051847833
1571,127911.71099350724
1572,142208.60903535763
1573,227541.9136630417
1574,139503.9069545129
1575,202237.87602772753
1576,223145.01940246395
1577,191724.73162558302
1578,146078.06060413225
1579,141664.96030387084
1580,191562.9335354397
1581,137649.3756229562
1582,128009.50990350985
1583,311997.5187312205
1584,234367.21369714694
1585,146404.64488925916
1586,90644.40270968474
1587,112478.29870280533
1588,142383.3733643617
1589,110472.87454827153
1590,132773.34503460847
1591,103057.90039695565
1592,129306.35736983763
1593,120649.67992499762
1594,126088.9540982448
1595,128086.32545465372
1596,199252.8345390524
1597,168296.52894919337
1598,180400.02124283844
1599,162851.53056334745
1600,175702.299314991
1601,87689.08881657817
1602,114959.5589161076
1603,103360.03367872412
1604,264696.15203482774
1605,242018.17633108332
1606,162322.36564888415
1607,165929.41544072368
1608,213927.82366797762
1609,189018.15924082696
1610,160760.32626406485
1611,148828.34431911775
1612,188593.49710349
1613,175901.73327537216
1614,123032.00412461779
1615,95245.30865162447
1616,90662.21900453606
1617,98773.35984080634
1618,124595.15269707279
1619,135505.97789201725
1620,175194.53922365318
1621,142017.89569736295
1622,142599.51819468258
1623,255048.37692427146
1624,217416.7819337258
1625,127161.2180396658
1626,168819.17075477
1627,186090.66914464778
1628,261638.1277138591
1629,172417.19635359533
1630,295052.91933025996
1631,197320.85885934136
1632,228647.39405813263
1633,170873.4725635955
1634,186636.1237895495
1635,181372.8461968523
1636,167203.21327164216
1637,182832.1528925721
1638,197777.520901986
1639,183502.19087456085
1640,226601.26967599528
1641,178711.5675819038
1642,217343.59791767562
1643,219736.49268161136
1644,217860.49968404742
1645,189933.73334205366
1646,155854.68589116362
1647,162163.60205637896
1648,142414.57770093792
1649,136935.77945996114
1650,125062.93906520536
1651,123210.09997945424
1652,101000.7629730785
1653,100986.67164898699
1654,156104.4624625114
1655,147709.73337855574
1656,151866.2955403235
1657,154896.09263042582
1658,156525.4013015382
1659,128098.52251412768
1660,151823.26107212337
1661,382242.54036140617
1662,319316.2185628369
1663,358882.1213586663
1664,386069.951252013
1665,305588.91175697296
1666,322085.7328345194
1667,326251.6375256646
1668,320425.1839242382
1669,285552.63516200025
1670,322397.40067259147
1671,259645.82067641887
1672,376571.1916570538
1673,286653.3399417377
1674,251501.6199096892
1675,194926.40122556957
1676,195427.19031179333
1677,204044.79081730198
1678,380943.6137237949
1679,367934.03036849305
1680,301402.5699250352
1681,236353.7796679772
1682,308478.44349102356
1683,195337.3720536015
1684,184284.61066572508
1685,181225.08460037067
1686,183625.71533186536
1687,172588.4540482393
1688,193553.09658891652
1689,195585.59366175352
1690,189651.77659405113
1691,181974.96591931427
1692,243451.97487440138
1693,173168.8461313631
1694,183558.32875939462
1695,169762.51142276352
1696,260711.32027239355
1697,168179.36420097793
1698,317545.7085294863
1699,313107.31571514165
1700,241642.47541135957
1701,254808.7436193093
1702,255603.4440392338
1703,259576.60579734173
1704,282616.3329400231
1705,227980.43493636683
1706,363054.43107300205
1707,209334.71728215867
1708,203030.32406756535
1709,260683.0409925421
1710,221284.15315973316
1711,253544.88688179295
1712,258640.0456897687
1713,265333.9719539606
1714,216404.3756076293
1715,197012.46941076187
1716,176454.50581287078
1717,163228.18858712664
1718,132374.94217692545
1719,206130.64299134567
1720,241601.78726746162
1721,162713.7259672365
1722,125901.85631344837
1723,156596.29825219736
1724,214061.65835398098
1725,226433.65908179592
1726,190598.1153983952
1727,180354.90816692446
1728,188968.1201427905
1729,161345.37872669735
1730,148088.9398415198
1731,126865.20331764701
1732,129451.30050207353
1733,125839.66747891357
1734,131669.75952778623
1735,132061.441097686
1736,123855.21113703087
1737,265236.51519344584
1738,207982.5031529032
1739,250632.9001719609
1740,225460.1044772679
1741,186312.7181962985
1742,166632.62045184916
1743,170544.6606113864
1744,256481.8877069249
1745,206745.65182696207
1746,193289.35504468536
1747,197304.07518324564
